update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
10-30-2020,12:45,DuPage,"24,696",619,"438,190",Collar,Chicago
10-30-2020,12:45,Edgar,167,11,"4,852",Southeast Central,
10-30-2020,12:45,Edwards,114,0,"1,170",Southern,
10-30-2020,12:45,Effingham,"1,285",4,"15,342",Southeast Central,
10-30-2020,12:45,Fayette,720,24,"8,462",Southeast Central,
10-30-2020,12:45,Ford,217,16,"7,695",Northeast Central,Champaign-Urbana
10-30-2020,12:45,Franklin,"1,081",10,"16,809",Southern,
10-30-2020,12:45,Fulton,622,2,"16,419",North Central,
10-30-2020,12:45,Gallatin,113,2,"1,155",Southern,
10-30-2020,12:45,Greene,329,17,"5,072",Central,
10-30-2020,12:45,Grundy,"1,086",7,"14,979",Collar,Chicago
10-30-2020,12:45,Hamilton,143,2,"2,140",Southern,
10-30-2020,12:45,Hancock,345,4,"7,204",West Central,
10-30-2020,12:45,Hardin,58,0,"1,422",Southern,
10-30-2020,12:45,Henderson,136,0,"2,078",West Central,
10-30-2020,12:45,Henry,879,7,"21,856",Northwest,Davenport
10-30-2020,12:45,Iroquois,539,19,"14,616",Northeast Central,
10-30-2020,12:45,Jackson,"1,637",26,"23,832",Southern,Carbondale-Marion
10-30-2020,12:45,Jasper,280,10,"3,544",Southeast Central,
10-30-2020,12:45,Jefferson,973,52,"13,629",Southern,
10-30-2020,12:45,Jersey,485,21,"8,443",Southwest Central,St_Louis
10-30-2020,12:45,Jo Daviess,556,9,"7,864",Northwest,
10-30-2020,12:45,Johnson,392,0,"4,133",Southern,
10-30-2020,12:45,Kane,"18,030",351,"234,084",Collar,Elgin
10-30-2020,12:45,Kankakee,"3,682",81,"68,744",Collar,Kankakee
10-30-2020,12:45,Kendall,"2,938",30,"45,703",Collar,Chicago
10-30-2020,12:45,Knox,"1,418",21,"25,207",West Central,
10-30-2020,12:45,Lake,"21,819",518,"334,004",Collar,Lake
10-30-2020,12:45,LaSalle,"2,652",68,"41,280",Northwest,
10-30-2020,12:45,Lawrence,362,8,"6,973",Southeast Central,
10-30-2020,12:45,Lee,840,2,"11,396",Northwest,
10-30-2020,12:45,Livingston,730,12,"18,649",North Central,
10-30-2020,12:45,Logan,645,4,"18,923",Central,
10-30-2020,12:45,Macon,"3,555",56,"56,138",Central,Decatur
10-30-2020,12:45,Macoupin,854,11,"23,141",Central,St_Louis
10-30-2020,12:45,Madison,"7,554",158,"101,874",Southwest Central,St_Louis
10-30-2020,12:45,Marion,"1,170",23,"19,943",Southeast Central,
10-30-2020,12:45,Marshall,171,3,"5,968",North Central,Peoria
10-30-2020,12:45,Mason,346,5,"6,436",North Central,
10-30-2020,12:45,Massac,165,2,"3,479",Southern,
10-30-2020,12:45,McDonough,818,22,"13,716",West Central,
10-30-2020,12:45,McHenry,"6,953",121,"105,614",Collar,Chicago
10-30-2020,12:45,McLean,"4,392",37,"102,803",North Central,Bloomington
10-30-2020,12:45,Menard,191,1,"6,198",Central,Springfield
10-30-2020,12:45,Mercer,311,6,"6,753",Northwest,Davenport
10-30-2020,12:45,Monroe,"1,016",30,"11,602",Southwest Central,St_Louis
10-30-2020,12:45,Montgomery,667,16,"18,160",Central,
10-30-2020,12:45,Morgan,"1,032",26,"16,700",Central,
10-30-2020,12:45,Moultrie,470,6,"7,257",Southeast Central,
10-30-2020,12:45,Ogle,"1,354",8,"20,694",Northern,
10-30-2020,12:45,Out Of State,2,0,"55,209",Out Of State,
10-30-2020,12:45,Peoria,"4,893",78,"113,691",North Central,Peoria
10-30-2020,12:45,Perry,485,16,"7,913",Southern,
10-30-2020,12:45,Piatt,282,2,"11,353",Northeast Central,Champaign-Urbana
10-30-2020,12:45,Pike,423,7,"5,742",West Central,
10-30-2020,12:45,Pope,44,1,845,Southern,
10-30-2020,12:45,Pulaski,246,1,"2,126",Southern,
