date,region,id,ICUAvail,ICUCapacity,VentsAvailable,VentsCapacity
2020-12-29,Region 6,6,49,160,275,323
2020-12-29,Region 7,7,31,162,86,139
2020-12-29,Region 8,8,67,324,379,579
2020-12-29,Region 9,9,55,192,239,295
2020-12-30,Region 1,1,37,179,238,343
2020-12-30,Region 10,10,131,733,618,928
2020-12-30,Region 11,11,216,938,1232,1775
2020-12-30,Region 2,2,62,235,387,474
2020-12-30,Region 3,3,41,161,301,421
2020-12-30,Region 4,4,24,112,119,166
2020-12-30,Region 5,5,11,89,241,258
2020-12-30,Region 6,6,51,160,273,323
2020-12-30,Region 7,7,25,162,84,139
2020-12-30,Region 8,8,83,324,376,579
2020-12-30,Region 9,9,56,192,233,295
2020-12-31,Region 1,1,46,179,240,343
2020-12-31,Region 10,10,140,733,613,928
2020-12-31,Region 11,11,220,937,1268,1775
2020-12-31,Region 2,2,55,235,392,489
2020-12-31,Region 3,3,37,161,301,421
2020-12-31,Region 4,4,27,113,121,164
2020-12-31,Region 5,5,12,89,245,258
2020-12-31,Region 6,6,54,160,275,323
2020-12-31,Region 7,7,41,162,96,139
2020-12-31,Region 8,8,81,324,374,579
2020-12-31,Region 9,9,51,188,232,295
2021-01-01,Region 1,1,43,179,253,343
2021-01-01,Region 10,10,159,733,630,928
2021-01-01,Region 11,11,233,937,1265,1773
2021-01-01,Region 2,2,50,235,387,489
2021-01-01,Region 3,3,43,162,329,421
2021-01-01,Region 4,4,31,112,123,166
2021-01-01,Region 5,5,12,89,246,258
2021-01-01,Region 6,6,50,160,273,323
2021-01-01,Region 7,7,43,162,92,139
2021-01-01,Region 8,8,86,324,377,579
2021-01-01,Region 9,9,57,188,236,295
2021-01-02,Region 1,1,42,179,261,343
2021-01-02,Region 10,10,173,733,650,928
2021-01-02,Region 11,11,239,939,1281,1777
2021-01-02,Region 2,2,46,235,386,489
2021-01-02,Region 3,3,40,160,340,421
2021-01-02,Region 4,4,29,115,116,164
2021-01-02,Region 5,5,11,89,241,258
2021-01-02,Region 6,6,45,160,273,323
2021-01-02,Region 7,7,43,162,91,139
2021-01-02,Region 8,8,82,324,367,579
2021-01-02,Region 9,9,46,188,239,295
2021-01-03,Region 1,1,56,179,254,343
2021-01-03,Region 10,10,168,733,639,928
2021-01-03,Region 11,11,258,948,1234,1759
2021-01-03,Region 2,2,44,235,387,489
2021-01-03,Region 3,3,41,163,341,421
2021-01-03,Region 4,4,27,113,118,164
2021-01-03,Region 5,5,11,89,245,258
2021-01-03,Region 6,6,50,160,270,323
2021-01-03,Region 7,7,55,162,89,139
2021-01-03,Region 8,8,95,324,360,579
2021-01-03,Region 9,9,48,188,252,295
2021-01-04,Region 1,1,54,179,252,343
2021-01-04,Region 10,10,173,733,636,928
2021-01-04,Region 11,11,247,949,1228,1754
2021-01-04,Region 2,2,50,235,382,489
2021-01-04,Region 3,3,27,163,331,421
2021-01-04,Region 4,4,24,113,112,164
2021-01-04,Region 5,5,11,89,245,258
2021-01-04,Region 6,6,44,160,269,323
2021-01-04,Region 7,7,42,162,91,139
2021-01-04,Region 8,8,83,324,368,579
2021-01-04,Region 9,9,46,188,234,295
2021-01-05,Region 1,1,48,179,240,343
2021-01-05,Region 10,10,145,733,632,928
2021-01-05,Region 11,11,222,941,1269,1772
2021-01-05,Region 2,2,56,235,377,489
2021-01-05,Region 3,3,34,163,328,421
2021-01-05,Region 4,4,20,113,113,166
2021-01-05,Region 5,5,12,87,236,258
2021-01-05,Region 6,6,48,160,268,323
2021-01-05,Region 7,7,41,162,93,139
2021-01-05,Region 8,8,67,324,362,579
2021-01-05,Region 9,9,44,188,232,295
2021-01-06,Region 1,1,48,179,256,343
2021-01-06,Region 10,10,141,733,654,928
2021-01-06,Region 11,11,248,941,1277,1772
2021-01-06,Region 2,2,54,235,378,489
2021-01-06,Region 3,3,33,160,331,421
2021-01-06,Region 4,4,14,113,120,164
2021-01-06,Region 5,5,11,87,238,258
2021-01-06,Region 6,6,49,160,266,323
2021-01-06,Region 7,7,40,162,94,138
2021-01-06,Region 8,8,72,324,360,581
2021-01-06,Region 9,9,45,188,235,295
2021-01-07,Region 1,1,40,179,250,343
2021-01-07,Region 10,10,163,733,639,928
2021-01-07,Region 11,11,199,939,1275,1774
2021-01-07,Region 2,2,58,235,379,489
2021-01-07,Region 3,3,37,155,336,421
2021-01-07,Region 4,4,23,113,126,164
2021-01-07,Region 5,5,14,87,238,258
2021-01-07,Region 6,6,48,160,264,323
2021-01-07,Region 7,7,44,162,96,138
2021-01-07,Region 8,8,70,328,363,581
2021-01-07,Region 9,9,43,191,233,295
2021-01-08,Region 1,1,40,179,258,343
2021-01-08,Region 10,10,172,733,674,928
2021-01-08,Region 11,11,217,941,1273,1772
2021-01-08,Region 2,2,59,235,399,489
2021-01-08,Region 3,3,29,156,327,421
2021-01-08,Region 4,4,22,113,125,164
2021-01-08,Region 5,5,12,85,241,258
2021-01-08,Region 6,6,50,160,267,323
2021-01-08,Region 7,7,36,162,95,139
2021-01-08,Region 8,8,73,328,359,581
2021-01-08,Region 9,9,43,190,227,295
2021-01-09,Region 1,1,34,179,255,343
2021-01-09,Region 10,10,166,733,651,928
2021-01-09,Region 11,11,241,941,1301,1772
2021-01-09,Region 2,2,58,235,393,489
2021-01-09,Region 3,3,40,163,338,421
2021-01-09,Region 4,4,20,113,120,164
2021-01-09,Region 5,5,19,85,244,258
2021-01-09,Region 6,6,44,160,263,323
2021-01-09,Region 7,7,38,162,87,139
2021-01-09,Region 8,8,72,324,364,581
2021-01-09,Region 9,9,43,190,230,295
2021-01-10,Region 1,1,50,179,261,343
2021-01-10,Region 10,10,174,733,663,928
2021-01-10,Region 11,11,274,940,1296,1772
2021-01-10,Region 2,2,71,255,390,489
2021-01-10,Region 3,3,46,163,337,421
2021-01-10,Region 4,4,23,115,125,164
2021-01-10,Region 5,5,19,85,245,258
2021-01-10,Region 6,6,63,160,266,323
2021-01-10,Region 7,7,48,162,87,139
2021-01-10,Region 8,8,81,324,367,581
2021-01-10,Region 9,9,49,190,230,295
2021-01-11,Region 1,1,51,179,249,343
2021-01-11,Region 10,10,168,733,653,928
2021-01-11,Region 11,11,269,937,1306,1772
2021-01-11,Region 2,2,58,255,386,489
2021-01-11,Region 3,3,43,163,330,421
2021-01-11,Region 4,4,19,113,123,164
2021-01-11,Region 5,5,17,85,243,258
2021-01-11,Region 6,6,57,160,268,323
