date,category,perc,count,baseline
2020-10-01,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.187111,364,11421
2020-10-01,SUBSYNDROME ShortnessOfBreath,6.356711,726,11421
2020-09-30,CCDD CDC Pneumonia CCDD v1,2.567154,302,11764
2020-09-30,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.805168,330,11764
2020-09-30,SUBSYNDROME ShortnessOfBreath,6.417885,755,11764
2020-09-29,CCDD CDC Pneumonia CCDD v1,2.180111,260,11926
2020-09-29,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.186316,380,11926
2020-09-29,SUBSYNDROME ShortnessOfBreath,6.515177,777,11926
2020-09-28,CCDD CDC Pneumonia CCDD v1,2.478886,317,12788
2020-09-28,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.987175,382,12788
2020-09-28,SUBSYNDROME ShortnessOfBreath,6.96747,891,12788
2020-09-27,CCDD CDC Pneumonia CCDD v1,2.180713,244,11189
2020-09-27,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.627581,294,11189
2020-09-27,SUBSYNDROME ShortnessOfBreath,5.737778,642,11189
2020-09-26,CCDD CDC Pneumonia CCDD v1,2.137133,240,11230
2020-09-26,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.804987,315,11230
2020-09-26,SUBSYNDROME ShortnessOfBreath,5.24488,589,11230
2020-09-25,CCDD CDC Pneumonia CCDD v1,2.485885,295,11867
2020-09-25,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.109463,369,11867
2020-09-25,SUBSYNDROME ShortnessOfBreath,6.008258,713,11867
2020-09-24,CCDD CDC Pneumonia CCDD v1,2.51495,307,12207
2020-09-24,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.695175,329,12207
2020-09-24,SUBSYNDROME ShortnessOfBreath,6.217744,759,12207
2020-09-23,CCDD CDC Pneumonia CCDD v1,2.395954,289,12062
2020-09-23,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.125518,377,12062
2020-09-23,SUBSYNDROME ShortnessOfBreath,6.010612,725,12062
2020-09-22,CCDD CDC Pneumonia CCDD v1,2.727571,332,12172
2020-09-22,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.867236,349,12172
2020-09-22,SUBSYNDROME ShortnessOfBreath,6.432797,783,12172
2020-09-21,CCDD CDC Pneumonia CCDD v1,2.653707,344,12963
2020-09-21,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.98542,387,12963
2020-09-21,SUBSYNDROME ShortnessOfBreath,6.109697,792,12963
2020-09-20,CCDD CDC Pneumonia CCDD v1,2.21827,237,10684
2020-09-20,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.470985,264,10684
2020-09-20,SUBSYNDROME ShortnessOfBreath,4.970049,531,10684
2020-09-19,CCDD CDC Pneumonia CCDD v1,2.33737,249,10653
2020-09-19,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.487562,265,10653
2020-09-19,SUBSYNDROME ShortnessOfBreath,5.378767,573,10653
2020-09-18,CCDD CDC Pneumonia CCDD v1,2.235522,254,11362
2020-09-18,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.816406,320,11362
2020-09-18,SUBSYNDROME ShortnessOfBreath,5.976061,679,11362
2020-09-17,CCDD CDC Pneumonia CCDD v1,2.26679,269,11867
2020-09-17,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.469032,293,11867
2020-09-17,SUBSYNDROME ShortnessOfBreath,5.755456,683,11867
2020-09-16,CCDD CDC Pneumonia CCDD v1,2.125407,261,12280
2020-09-16,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.71987,334,12280
2020-09-16,SUBSYNDROME ShortnessOfBreath,5.903909,725,12280
2020-09-15,CCDD CDC Pneumonia CCDD v1,2.288565,289,12628
2020-09-15,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.494457,315,12628
2020-09-15,SUBSYNDROME ShortnessOfBreath,5.970858,754,12628
2020-09-14,CCDD CDC Pneumonia CCDD v1,2.25335,296,13136
2020-09-14,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.390378,314,13136
2020-09-14,SUBSYNDROME ShortnessOfBreath,5.648599,742,13136
2020-09-13,CCDD CDC Pneumonia CCDD v1,2.087775,235,11256
2020-09-13,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.238806,252,11256
2020-09-13,SUBSYNDROME ShortnessOfBreath,5.268301,593,11256
2020-09-12,CCDD CDC Pneumonia CCDD v1,2.102182,237,11274
2020-09-12,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.62551,296,11274
2020-09-12,SUBSYNDROME ShortnessOfBreath,5.925137,668,11274
2020-09-11,CCDD CDC Pneumonia CCDD v1,2.50215,291,11630
2020-09-11,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.588134,301,11630
2020-09-11,SUBSYNDROME ShortnessOfBreath,5.700774,663,11630
2020-09-10,CCDD CDC Pneumonia CCDD v1,2.052112,241,11744
2020-09-10,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.571526,302,11744
2020-09-10,SUBSYNDROME ShortnessOfBreath,5.773161,678,11744
2020-09-09,CCDD CDC Pneumonia CCDD v1,2.211363,267,12074
2020-09-09,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.617194,316,12074
2020-09-09,SUBSYNDROME ShortnessOfBreath,6.153719,743,12074
