date,agegroup,race,gender,cases,tested,deaths
2020-12-01,NA,NA,Unknown/Left Blank,11399,859211,0
2020-11-30,<20,AI/AN**,NA,112,1152,0
2020-11-30,<20,Asian,NA,1576,78000,0
2020-11-30,<20,Black,NA,8009,98808,5
2020-11-30,<20,Hispanic,NA,24029,150926,1
2020-11-30,<20,Left Blank,NA,34820,452425,0
2020-11-30,<20,NH/PI*,NA,85,1761,0
2020-11-30,<20,Other,NA,3781,55844,0
2020-11-30,<20,White,NA,30703,455592,2
2020-11-30,<20,NA,NA,103115,1294508,8
2020-11-30,20-29,AI/AN**,NA,166,1916,0
2020-11-30,20-29,Asian,NA,2760,173612,2
2020-11-30,20-29,Black,NA,12651,153477,16
2020-11-30,20-29,Hispanic,NA,29966,202079,20
2020-11-30,20-29,Left Blank,NA,44666,769606,0
2020-11-30,20-29,NH/PI*,NA,132,3020,0
2020-11-30,20-29,Other,NA,4970,81770,1
2020-11-30,20-29,White,NA,42844,679581,1
2020-11-30,20-29,NA,NA,138155,2065061,40
2020-11-30,30-39,AI/AN**,NA,148,1299,0
2020-11-30,30-39,Asian,NA,2475,48240,6
2020-11-30,30-39,Black,NA,11661,119993,57
2020-11-30,30-39,Hispanic,NA,26040,128519,84
2020-11-30,30-39,Left Blank,NA,38351,688876,2
2020-11-30,30-39,NH/PI*,NA,137,1806,0
2020-11-30,30-39,Other,NA,4442,53031,0
2020-11-30,30-39,White,NA,33728,449644,15
2020-11-30,30-39,NA,NA,116982,1491408,164
2020-11-30,40-49,AI/AN**,NA,130,1146,1
2020-11-30,40-49,Asian,NA,2328,31949,13
2020-11-30,40-49,Black,NA,10974,112540,107
2020-11-30,40-49,Hispanic,NA,26688,112755,192
2020-11-30,40-49,Left Blank,NA,36054,596539,3
2020-11-30,40-49,NH/PI*,NA,131,1397,1
2020-11-30,40-49,Other,NA,4084,41948,0
2020-11-30,40-49,White,NA,32379,378418,58
2020-11-30,40-49,NA,NA,112768,1276692,375
2020-11-30,50-59,AI/AN**,NA,127,1149,2
2020-11-30,50-59,Asian,NA,2055,26938,28
2020-11-30,50-59,Black,NA,10472,120063,251
2020-11-30,50-59,Hispanic,NA,19004,84934,355
2020-11-30,50-59,Left Blank,NA,34775,623728,9
2020-11-30,50-59,NH/PI*,NA,108,1432,2
2020-11-30,50-59,Other,NA,3689,38098,5
2020-11-30,50-59,White,NA,37942,454604,241
2020-11-30,50-59,NA,NA,108172,1350946,893
2020-11-30,60-69,AI/AN**,NA,84,833,4
2020-11-30,60-69,Asian,NA,1587,17753,73
2020-11-30,60-69,Black,NA,7986,101612,590
2020-11-30,60-69,Hispanic,NA,9545,47828,522
2020-11-30,60-69,Left Blank,NA,23401,515376,28
2020-11-30,60-69,NH/PI*,NA,87,894,3
2020-11-30,60-69,Other,NA,2342,28584,14
2020-11-30,60-69,White,NA,30675,418045,752
2020-11-30,60-69,NA,NA,75707,1130925,1986
2020-11-30,70-79,AI/AN**,NA,48,450,3
2020-11-30,70-79,Asian,NA,838,9183,115
2020-11-30,70-79,Black,NA,4510,52210,701
2020-11-30,70-79,Hispanic,NA,3764,19663,478
2020-11-30,70-79,Left Blank,NA,11248,298292,65
2020-11-30,70-79,NH/PI*,NA,32,345,2
2020-11-30,70-79,Other,NA,1056,16072,21
2020-11-30,70-79,White,NA,18844,282474,1602
2020-11-30,70-79,NA,NA,40340,678689,2987
2020-11-30,80+,AI/AN**,NA,31,247,6
2020-11-30,80+,Asian,NA,574,5507,214
2020-11-30,80+,Black,NA,2913,28905,870
2020-11-30,80+,Hispanic,NA,1833,9932,493
2020-11-30,80+,Left Blank,NA,8404,325170,207
2020-11-30,80+,NH/PI*,NA,19,153,3
2020-11-30,80+,Other,NA,532,8333,27
2020-11-30,80+,White,NA,16529,250201,4005
2020-11-30,80+,NA,NA,30835,628448,5825
2020-11-30,Unknown,AI/AN**,NA,0,1,0
2020-11-30,Unknown,Asian,NA,0,52,0
2020-11-30,Unknown,Black,NA,5,175,0
2020-11-30,Unknown,Hispanic,NA,11,264,0
2020-11-30,Unknown,Left Blank,NA,177,580230,0
2020-11-30,Unknown,NH/PI*,NA,0,0,0
2020-11-30,Unknown,Other,NA,2,45,0
2020-11-30,Unknown,White,NA,35,554,0
2020-11-30,Unknown,NA,NA,230,581321,0
2020-11-30,NA,AI/AN**,NA,846,8193,16
2020-11-30,NA,Asian,NA,14193,391234,451
2020-11-30,NA,Black,NA,69181,787783,2597
2020-11-30,NA,Hispanic,NA,140880,756900,2145
2020-11-30,NA,Left Blank,NA,231896,4850242,314
2020-11-30,NA,NH/PI*,NA,731,10808,11
2020-11-30,NA,Other,NA,24898,323725,68
2020-11-30,NA,White,NA,243679,3369113,6676
2020-11-30,NA,NA,Female,374682,5486722,5681
2020-11-30,NA,NA,Male,340401,4157837,6597
2020-11-30,NA,NA,Unknown/Left Blank,11221,853439,0
2020-11-29,<20,AI/AN**,NA,113,1142,0
2020-11-29,<20,Asian,NA,1558,77844,0
2020-11-29,<20,Black,NA,7965,98356,5
2020-11-29,<20,Hispanic,NA,23898,150151,1
2020-11-29,<20,Left Blank,NA,34374,448976,0
2020-11-29,<20,NH/PI*,NA,84,1760,0
2020-11-29,<20,Other,NA,3759,55569,0
2020-11-29,<20,White,NA,30456,453749,2
2020-11-29,<20,NA,NA,102207,1287547,8
2020-11-29,20-29,AI/AN**,NA,164,1904,0
2020-11-29,20-29,Asian,NA,2730,172822,2
2020-11-29,20-29,Black,NA,12567,152625,16
2020-11-29,20-29,Hispanic,NA,29843,200951,20
2020-11-29,20-29,Left Blank,NA,44203,764568,0
2020-11-29,20-29,NH/PI*,NA,131,3016,0
2020-11-29,20-29,Other,NA,4923,81291,1
2020-11-29,20-29,White,NA,42522,676358,1
2020-11-29,20-29,NA,NA,137083,2053535,40
2020-11-29,30-39,AI/AN**,NA,148,1292,0
2020-11-29,30-39,Asian,NA,2454,47886,6
2020-11-29,30-39,Black,NA,11584,119173,56
2020-11-29,30-39,Hispanic,NA,25931,127743,84
2020-11-29,30-39,Left Blank,NA,37940,684135,2
2020-11-29,30-39,NH/PI*,NA,137,1796,0
2020-11-29,30-39,Other,NA,4395,52623,0
2020-11-29,30-39,White,NA,33415,447088,15
2020-11-29,30-39,NA,NA,116004,1481736,163
2020-11-29,40-49,AI/AN**,NA,127,1135,1
2020-11-29,40-49,Asian,NA,2308,31675,13
2020-11-29,40-49,Black,NA,10915,111761,107
2020-11-29,40-49,Hispanic,NA,26581,112113,192
2020-11-29,40-49,Left Blank,NA,35644,591935,3
2020-11-29,40-49,NH/PI*,NA,131,1392,1
2020-11-29,40-49,Other,NA,4050,41665,0
2020-11-29,40-49,White,NA,32083,376216,58
2020-11-29,40-49,NA,NA,111839,1267892,375
2020-11-29,50-59,AI/AN**,NA,126,1145,2
2020-11-29,50-59,Asian,NA,2038,26709,28
2020-11-29,50-59,Black,NA,10430,119317,251
2020-11-29,50-59,Hispanic,NA,18912,84393,353
2020-11-29,50-59,Left Blank,NA,34360,618737,9
2020-11-29,50-59,NH/PI*,NA,108,1424,2
2020-11-29,50-59,Other,NA,3656,37810,5
2020-11-29,50-59,White,NA,37588,451698,239
2020-11-29,50-59,NA,NA,107218,1341233,889
2020-11-29,60-69,AI/AN**,NA,83,829,4
2020-11-29,60-69,Asian,NA,1574,17599,73
2020-11-29,60-69,Black,NA,7942,101059,585
2020-11-29,60-69,Hispanic,NA,9502,47542,518
2020-11-29,60-69,Left Blank,NA,23117,510868,27
2020-11-29,60-69,NH/PI*,NA,87,893,3
2020-11-29,60-69,Other,NA,2318,28378,14
2020-11-29,60-69,White,NA,30415,415481,748
2020-11-29,60-69,NA,NA,75038,1122649,1972
2020-11-29,70-79,AI/AN**,NA,47,448,3
2020-11-29,70-79,Asian,NA,825,9106,114
2020-11-29,70-79,Black,NA,4483,51975,697
2020-11-29,70-79,Hispanic,NA,3736,19566,473
2020-11-29,70-79,Left Blank,NA,11082,295616,62
2020-11-29,70-79,NH/PI*,NA,32,345,2
2020-11-29,70-79,Other,NA,1042,15973,21
2020-11-29,70-79,White,NA,18687,280876,1587
2020-11-29,70-79,NA,NA,39934,673905,2959
2020-11-29,80+,AI/AN**,NA,31,247,6
2020-11-29,80+,Asian,NA,569,5447,214
2020-11-29,80+,Black,NA,2898,28791,867
2020-11-29,80+,Hispanic,NA,1823,9886,490
2020-11-29,80+,Left Blank,NA,8293,321861,198
2020-11-29,80+,NH/PI*,NA,19,152,3
2020-11-29,80+,Other,NA,529,8271,26
2020-11-29,80+,White,NA,16401,248878,3983
2020-11-29,80+,NA,NA,30563,623533,5787
