county,date,measure,group,cases,tested
Adams,2020-12-09,gender,Unknown/Left Blank,272,5627
Adams,2020-12-09,race,AI/AN**,0,24
Adams,2020-12-09,race,Asian,0,106
Adams,2020-12-09,race,Black,84,680
Adams,2020-12-09,race,Hispanic,9,174
Adams,2020-12-09,race,Left Blank,3822,50466
Adams,2020-12-09,race,NH/PI*,0,47
Adams,2020-12-09,race,Other,0,113
Adams,2020-12-09,race,White,1280,21493
Adams,2020-12-08,age,<20,7,4
Adams,2020-12-08,age,20-29,9,6
Adams,2020-12-08,age,30-39,6,9
Adams,2020-12-08,age,40-49,4,7
Adams,2020-12-08,age,50-59,8,1
Adams,2020-12-08,age,60-69,5,5
Adams,2020-12-08,age,70-79,3,3
Adams,2020-12-08,age,80+,2,8
Adams,2020-12-08,age,Unknown,1,2
Adams,2020-12-08,gender,Female,2626,39374
Adams,2020-12-08,gender,Male,2253,27246
Adams,2020-12-08,gender,Unknown/Left Blank,270,5598
Adams,2020-12-08,race,AI/AN**,0,24
Adams,2020-12-08,race,Asian,0,104
Adams,2020-12-08,race,Black,84,678
Adams,2020-12-08,race,Hispanic,9,174
Adams,2020-12-08,race,Left Blank,3765,49844
Adams,2020-12-08,race,NH/PI*,0,47
Adams,2020-12-08,race,Other,0,112
Adams,2020-12-08,race,White,1272,21235
Adams,2020-12-07,age,<20,7,4
Adams,2020-12-07,age,20-29,9,6
Adams,2020-12-07,age,30-39,6,9
Adams,2020-12-07,age,40-49,4,7
Adams,2020-12-07,age,50-59,8,1
Adams,2020-12-07,age,60-69,5,5
Adams,2020-12-07,age,70-79,3,3
Adams,2020-12-07,age,80+,2,8
Adams,2020-12-07,age,Unknown,1,2
Adams,2020-12-07,gender,Female,2588,38677
Adams,2020-12-07,gender,Male,2213,26677
Adams,2020-12-07,gender,Unknown/Left Blank,270,5576
Adams,2020-12-07,race,AI/AN**,0,24
Adams,2020-12-07,race,Asian,0,104
Adams,2020-12-07,race,Black,84,675
Adams,2020-12-07,race,Hispanic,9,173
Adams,2020-12-07,race,Left Blank,3704,48951
