date,group,positive_cases
2020-10-18,<20,430
2020-10-18,20-29,567
2020-10-18,30-39,507
2020-10-18,40-49,431
2020-10-18,50-59,469
2020-10-18,60-69,334
2020-10-18,70-79,183
2020-10-18,80+,118
2020-10-17,<20,660
2020-10-17,20-29,1010
2020-10-17,30-39,818
2020-10-17,40-49,761
2020-10-17,50-59,695
2020-10-17,60-69,468
2020-10-17,70-79,268
2020-10-17,80+,160
2020-10-16,<20,633
2020-10-16,20-29,793
2020-10-16,30-39,696
2020-10-16,40-49,612
2020-10-16,50-59,573
2020-10-16,60-69,447
2020-10-16,70-79,211
2020-10-16,80+,170
2020-10-15,<20,605
2020-10-15,20-29,889
2020-10-15,30-39,756
2020-10-15,40-49,724
2020-10-15,50-59,690
2020-10-15,60-69,490
2020-10-15,70-79,267
2020-10-15,80+,188
2020-10-14,<20,453
2020-10-14,20-29,599
2020-10-14,30-39,535
2020-10-14,40-49,536
2020-10-14,50-59,505
2020-10-14,60-69,381
2020-10-14,70-79,244
2020-10-14,80+,222
2020-10-13,<20,420
2020-10-13,20-29,626
2020-10-13,30-39,463
2020-10-13,40-49,455
2020-10-13,50-59,451
2020-10-13,60-69,352
2020-10-13,70-79,219
2020-10-13,80+,123
2020-10-12,<20,427
2020-10-12,20-29,514
2020-10-12,30-39,482
2020-10-12,40-49,369
2020-10-12,50-59,405
2020-10-12,60-69,304
2020-10-12,70-79,128
2020-10-12,80+,107
2020-10-11,<20,365
2020-10-11,20-29,479
2020-10-11,30-39,420
2020-10-11,40-49,378
2020-10-11,50-59,366
2020-10-11,60-69,309
2020-10-11,70-79,142
2020-10-11,80+,92
2020-10-10,<20,394
2020-10-10,20-29,559
2020-10-10,30-39,448
2020-10-10,40-49,402
2020-10-10,50-59,422
2020-10-10,60-69,313
2020-10-10,70-79,133
2020-10-10,80+,134
2020-10-09,<20,488
2020-10-09,20-29,665
2020-10-09,30-39,490
2020-10-09,40-49,494
2020-10-09,50-59,459
2020-10-09,60-69,355
2020-10-09,70-79,207
2020-10-09,80+,112
2020-10-08,<20,380
2020-10-08,20-29,505
2020-10-08,30-39,448
2020-10-08,40-49,378
2020-10-08,50-59,401
2020-10-08,60-69,306
2020-10-08,70-79,187
2020-10-08,80+,126
2020-10-07,<20,369
2020-10-07,20-29,534
2020-10-07,30-39,472
2020-10-07,40-49,435
2020-10-07,50-59,458
2020-10-07,60-69,292
2020-10-07,70-79,169
2020-10-07,80+,134
2020-10-06,<20,276
2020-10-06,20-29,372
2020-10-06,30-39,309
2020-10-06,40-49,309
2020-10-06,50-59,328
2020-10-06,60-69,290
2020-10-06,70-79,154
2020-10-06,80+,102
2020-10-05,<20,276
2020-10-05,20-29,304
2020-10-05,30-39,289
2020-10-05,40-49,263
2020-10-05,50-59,245
2020-10-05,60-69,198
2020-10-05,70-79,134
2020-10-05,80+,76
2020-10-04,<20,231
2020-10-04,20-29,288
2020-10-04,30-39,260
2020-10-04,40-49,223
2020-10-04,50-59,251
2020-10-04,60-69,164
2020-10-04,70-79,102
2020-10-04,80+,55
2020-10-03,<20,302
2020-10-03,20-29,387
2020-10-03,30-39,316
2020-10-03,40-49,249
2020-10-03,50-59,258
2020-10-03,60-69,183
2020-10-03,70-79,87
2020-10-03,80+,62
2020-10-02,<20,392
2020-10-02,20-29,440
2020-10-02,30-39,364
2020-10-02,40-49,324
2020-10-02,50-59,308
2020-10-02,60-69,230
2020-10-02,70-79,146
2020-10-02,80+,131
2020-10-01,<20,405
2020-10-01,20-29,521
2020-10-01,30-39,400
2020-10-01,40-49,390
2020-10-01,50-59,364
2020-10-01,60-69,291
2020-10-01,70-79,128
2020-10-01,80+,86
2020-09-30,<20,376
2020-09-30,20-29,399
2020-09-30,30-39,321
2020-09-30,40-49,341
2020-09-30,50-59,330
2020-09-30,60-69,228
2020-09-30,70-79,141
2020-09-30,80+,81
2020-09-29,<20,284
2020-09-29,20-29,386
2020-09-29,30-39,269
2020-09-29,40-49,283
2020-09-29,50-59,305
2020-09-29,60-69,203
2020-09-29,70-79,107
2020-09-29,80+,53
2020-09-28,<20,243
2020-09-28,20-29,307
2020-09-28,30-39,259
2020-09-28,40-49,239
2020-09-28,50-59,220
2020-09-28,60-69,149
2020-09-28,70-79,87
2020-09-28,80+,68
2020-09-27,<20,245
2020-09-27,20-29,375
2020-09-27,30-39,273
2020-09-27,40-49,242
2020-09-27,50-59,250
2020-09-27,60-69,179
2020-09-27,70-79,67
2020-09-27,80+,51
2020-09-26,<20,299
2020-09-26,20-29,369
2020-09-26,30-39,334
2020-09-26,40-49,283
2020-09-26,50-59,254
2020-09-26,60-69,196
2020-09-26,70-79,98
2020-09-26,80+,40
2020-09-25,<20,464
2020-09-25,20-29,533
2020-09-25,30-39,396
2020-09-25,40-49,356
2020-09-25,50-59,342
2020-09-25,60-69,240
2020-09-25,70-79,125
2020-09-25,80+,102
2020-09-24,<20,412
2020-09-24,20-29,527
2020-09-24,30-39,439
2020-09-24,40-49,344
2020-09-24,50-59,336
2020-09-24,60-69,269
2020-09-24,70-79,131
2020-09-24,80+,108
2020-09-23,<20,345
2020-09-23,20-29,454
2020-09-23,30-39,318
2020-09-23,40-49,300
2020-09-23,50-59,293
2020-09-23,60-69,213
2020-09-23,70-79,124
2020-09-23,80+,84
2020-09-22,<20,269
2020-09-22,20-29,356
2020-09-22,30-39,284
2020-09-22,40-49,204
2020-09-22,50-59,222
2020-09-22,60-69,183
2020-09-22,70-79,99
2020-09-22,80+,76
2020-09-21,<20,292
2020-09-21,20-29,282
2020-09-21,30-39,219
2020-09-21,40-49,226
2020-09-21,50-59,207
2020-09-21,60-69,171
2020-09-21,70-79,92
2020-09-21,80+,68
2020-09-20,<20,265
2020-09-20,20-29,313
2020-09-20,30-39,258
2020-09-20,40-49,200
2020-09-20,50-59,186
2020-09-20,60-69,142
2020-09-20,70-79,83
2020-09-20,80+,43
2020-09-19,<20,305
2020-09-19,20-29,377
2020-09-19,30-39,290
2020-09-19,40-49,240
2020-09-19,50-59,225
2020-09-19,60-69,198
2020-09-19,70-79,68
2020-09-19,80+,49
2020-09-18,<20,431
2020-09-18,20-29,600
2020-09-18,30-39,401
2020-09-18,40-49,346
2020-09-18,50-59,365
2020-09-18,60-69,247
2020-09-18,70-79,118
2020-09-18,80+,98
2020-09-17,<20,380
2020-09-17,20-29,409
2020-09-17,30-39,348
2020-09-17,40-49,293
2020-09-17,50-59,260
2020-09-17,60-69,185
2020-09-17,70-79,112
2020-09-17,80+,74
2020-09-16,<20,386
2020-09-16,20-29,433
2020-09-16,30-39,288
2020-09-16,40-49,292
2020-09-16,50-59,305
2020-09-16,60-69,203
2020-09-16,70-79,107
2020-09-16,80+,55
2020-09-15,<20,352
2020-09-15,20-29,341
2020-09-15,30-39,269
2020-09-15,40-49,277
2020-09-15,50-59,262
2020-09-15,60-69,181
2020-09-15,70-79,101
2020-09-15,80+,88
2020-09-14,<20,263
2020-09-14,20-29,300
2020-09-14,30-39,234
2020-09-14,40-49,183
2020-09-14,50-59,208
2020-09-14,60-69,128
2020-09-14,70-79,79
2020-09-14,80+,59
2020-09-13,<20,231
2020-09-13,20-29,340
2020-09-13,30-39,219
2020-09-13,40-49,219
2020-09-13,50-59,172
2020-09-13,60-69,118
2020-09-13,70-79,62
2020-09-13,80+,34
2020-09-12,<20,324
2020-09-12,20-29,406
2020-09-12,30-39,242
2020-09-12,40-49,198
2020-09-12,50-59,227
2020-09-12,60-69,132
2020-09-12,70-79,85
2020-09-12,80+,42
2020-09-11,<20,415
2020-09-11,20-29,470
2020-09-11,30-39,315
2020-09-11,40-49,298
2020-09-11,50-59,251
2020-09-11,60-69,212
2020-09-11,70-79,119
2020-09-11,80+,87
2020-09-10,<20,381
2020-09-10,20-29,473
2020-09-10,30-39,273
2020-09-10,40-49,278
2020-09-10,50-59,302
2020-09-10,60-69,191
2020-09-10,70-79,114
2020-09-10,80+,69
2020-09-09,<20,353
2020-09-09,20-29,410
2020-09-09,30-39,239
2020-09-09,40-49,217
2020-09-09,50-59,212
2020-09-09,60-69,154
2020-09-09,70-79,87
2020-09-09,80+,72
2020-09-08,<20,376
2020-09-08,20-29,408
2020-09-08,30-39,223
2020-09-08,40-49,192
2020-09-08,50-59,210
2020-09-08,60-69,123
2020-09-08,70-79,72
2020-09-08,80+,46
2020-09-07,<20,292
2020-09-07,20-29,287
2020-09-07,30-39,224
2020-09-07,40-49,212
2020-09-07,50-59,193
2020-09-07,60-69,129
2020-09-07,70-79,58
2020-09-07,80+,36
2020-09-06,<20,240
2020-09-06,20-29,277
2020-09-06,30-39,194
2020-09-06,40-49,155
2020-09-06,50-59,153
2020-09-06,60-69,84
2020-09-06,70-79,45
2020-09-06,80+,24
2020-09-05,<20,431
2020-09-05,20-29,396
2020-09-05,30-39,236
2020-09-05,40-49,259
2020-09-05,50-59,245
2020-09-05,60-69,163
2020-09-05,70-79,83
2020-09-05,80+,49
2020-09-04,<20,608
2020-09-04,20-29,653
2020-09-04,30-39,380
2020-09-04,40-49,365
2020-09-04,50-59,340
2020-09-04,60-69,197
2020-09-04,70-79,129
2020-09-04,80+,61
2020-09-03,<20,1165
2020-09-03,20-29,1200
2020-09-03,30-39,553
2020-09-03,40-49,511
2020-09-03,50-59,597
2020-09-03,60-69,346
2020-09-03,70-79,178
2020-09-03,80+,125
2020-09-02,<20,402
2020-09-02,20-29,528
2020-09-02,30-39,284
2020-09-02,40-49,280
2020-09-02,50-59,256
2020-09-02,60-69,185
2020-09-02,70-79,100
2020-09-02,80+,49
2020-09-01,<20,351
2020-09-01,20-29,454
2020-09-01,30-39,220
2020-09-01,40-49,213
2020-09-01,50-59,208
2020-09-01,60-69,151
2020-09-01,70-79,82
2020-09-01,80+,68
2020-08-31,<20,297
2020-08-31,20-29,312
2020-08-31,30-39,199
2020-08-31,40-49,198
2020-08-31,50-59,159
2020-08-31,60-69,132
2020-08-31,70-79,78
2020-08-31,80+,67
2020-08-30,<20,345
2020-08-30,20-29,502
2020-08-30,30-39,239
2020-08-30,40-49,231
2020-08-30,50-59,184
2020-08-30,60-69,144
2020-08-30,70-79,73
2020-08-30,80+,19
2020-08-29,<20,412
2020-08-29,20-29,585
2020-08-29,30-39,322
2020-08-29,40-49,281
2020-08-29,50-59,274
2020-08-29,60-69,156
2020-08-29,70-79,92
2020-08-29,80+,45
2020-08-28,<20,451
2020-08-28,20-29,553
2020-08-28,30-39,312
2020-08-28,40-49,285
