date,County,youthCaseCount,youthCaseTested
2020-11-15,Pope,7,144
2020-11-15,Pulaski,39,264
2020-11-15,Putnam,16,240
2020-11-15,Randolph,229,2339
2020-11-15,Richland,67,1541
2020-11-15,Rock Island,804,10426
2020-11-15,Saline,104,1458
2020-11-15,Sangamon,1053,18693
2020-11-15,Schuyler,25,305
2020-11-15,Scott,24,434
2020-11-15,Shelby,116,1363
2020-11-15,St. Clair,1511,15058
2020-11-15,Stark,32,584
2020-11-15,Stephenson,272,3072
2020-11-15,Tazewell,745,13070
2020-11-15,Unassigned,35,7077
2020-11-15,Union,100,1051
2020-11-15,Vermilion,509,7077
2020-11-15,Wabash,90,657
2020-11-15,Warren,85,761
2020-11-15,Washington,80,711
2020-11-15,Wayne,140,1026
2020-11-15,White,54,949
2020-11-15,Whiteside,371,4143
2020-11-15,Will,4220,39653
2020-11-15,Williamson,425,4160
2020-11-15,Winnebago,2457,26970
2020-11-15,Woodford,224,4023
2020-11-08,Adams,410,3926
2020-11-08,Alexander,17,212
2020-11-08,Bond,104,821
2020-11-08,Boone,410,3951
2020-11-08,Brown,19,166
2020-11-08,Bureau,167,1672
2020-11-08,Calhoun,15,178
2020-11-08,Carroll,56,729
2020-11-08,Cass,65,920
2020-11-08,Champaign,2364,227154
2020-11-08,Chicago,13020,159607
2020-11-08,Christian,73,1639
2020-11-08,Clark,80,839
2020-11-08,Clay,41,772
2020-11-08,Clinton,268,2505
2020-11-08,Coles,422,4328
2020-11-08,Cook,12576,143803
2020-11-08,Crawford,81,967
2020-11-08,Cumberland,56,600
2020-11-08,De Witt,66,1181
2020-11-08,DeKalb,562,8733
2020-11-08,Douglas,187,2451
2020-11-08,DuPage,4296,53805
2020-11-08,Edgar,79,586
2020-11-08,Edwards,24,286
2020-11-08,Effingham,238,1984
2020-11-08,Fayette,138,1035
2020-11-08,Ford,60,1252
2020-11-08,Franklin,210,1983
2020-11-08,Fulton,156,2404
2020-11-08,Gallatin,19,227
2020-11-08,Greene,47,735
2020-11-08,Grundy,262,2896
2020-11-08,Hamilton,21,344
2020-11-08,Hancock,72,638
2020-11-08,Hardin,9,129
2020-11-08,Henderson,9,309
2020-11-08,Henry,203,2953
2020-11-08,Illinois,66443,1019976
2020-11-08,Iroquois,103,1880
2020-11-08,Jackson,307,3827
2020-11-08,Jasper,66,460
2020-11-08,Jefferson,130,1824
2020-11-08,Jersey,97,1056
2020-11-08,Jo Daviess,93,1112
2020-11-08,Johnson,54,561
2020-11-08,Kane,3427,32377
2020-11-08,Kankakee,719,7719
2020-11-08,Kendall,583,8225
2020-11-08,Knox,226,3863
2020-11-08,Lake,4400,43522
2020-11-08,LaSalle,437,5069
2020-11-08,Lawrence,59,1059
2020-11-08,Lee,128,1692
2020-11-08,Livingston,138,2598
2020-11-08,Logan,87,2756
2020-11-08,Macon,607,7238
2020-11-08,Macoupin,156,3298
2020-11-08,Madison,1272,13523
2020-11-08,Marion,157,2185
2020-11-08,Marshall,30,700
2020-11-08,Mason,61,1168
2020-11-08,Massac,38,479
2020-11-08,McDonough,188,2076
2020-11-08,McHenry,1287,14337
2020-11-08,McLean,1187,21705
2020-11-08,Menard,31,1008
2020-11-08,Mercer,52,1194
2020-11-08,Monroe,181,1832
2020-11-08,Montgomery,71,1985
2020-11-08,Morgan,97,1852
2020-11-08,Moultrie,83,1257
2020-11-08,Ogle,213,3453
2020-11-08,Peoria,1066,18433
2020-11-08,Perry,99,1066
2020-11-08,Piatt,64,2560
2020-11-08,Pike,54,721
2020-11-08,Pope,0,130
2020-11-08,Pulaski,36,245
2020-11-08,Putnam,15,228
2020-11-08,Randolph,194,2135
2020-11-08,Richland,52,1438
2020-11-08,Rock Island,643,9573
2020-11-08,Saline,88,1320
2020-11-08,Sangamon,817,16888
2020-11-08,Schuyler,20,264
2020-11-08,Scott,20,387
2020-11-08,Shelby,91,1266
2020-11-08,St. Clair,1306,13832
2020-11-08,Stark,25,540
2020-11-08,Stephenson,229,2851
2020-11-08,Tazewell,607,11953
2020-11-08,Unassigned,15,6798
2020-11-08,Union,95,965
2020-11-08,Vermilion,416,6320
2020-11-08,Wabash,75,550
2020-11-08,Warren,68,672
2020-11-08,Washington,67,633
2020-11-08,Wayne,122,951
2020-11-08,White,42,873
2020-11-08,Whiteside,290,3755
2020-11-08,Will,3379,35703
2020-11-08,Williamson,369,3700
2020-11-08,Winnebago,2127,24962
2020-11-08,Woodford,189,3650
2020-11-01,Adams,337,3613
2020-11-01,Alexander,15,199
2020-11-01,Bond,95,765
2020-11-01,Boone,347,3589
2020-11-01,Brown,15,145
2020-11-01,Bureau,141,1501
2020-11-01,Calhoun,14,154
2020-11-01,Carroll,46,655
2020-11-01,Cass,61,824
2020-11-01,Champaign,2165,208122
2020-11-01,Chicago,11067,146555
2020-11-01,Christian,55,1529
2020-11-01,Clark,54,798
2020-11-01,Clay,33,726
2020-11-01,Clinton,238,2293
2020-11-01,Coles,378,4177
2020-11-01,Cook,10646,132102
2020-11-01,Crawford,73,898
2020-11-01,Cumberland,44,559
2020-11-01,De Witt,37,1071
2020-11-01,DeKalb,479,7910
2020-11-01,Douglas,155,2295
2020-11-01,DuPage,3524,49922
2020-11-01,Edgar,29,538
2020-11-01,Edwards,24,273
2020-11-01,Effingham,188,1845
2020-11-01,Fayette,95,963
2020-11-01,Ford,22,1115
2020-11-01,Franklin,189,1868
2020-11-01,Fulton,131,2134
2020-11-01,Gallatin,18,207
2020-11-01,Greene,28,654
2020-11-01,Grundy,199,2488
2020-11-01,Hamilton,17,326
2020-11-01,Hancock,40,560
2020-11-01,Hardin,9,123
2020-11-01,Henderson,8,273
2020-11-01,Henry,127,2647
2020-11-01,Illinois,55340,935899
2020-11-01,Iroquois,62,1660
2020-11-01,Jackson,278,3537
2020-11-01,Jasper,44,442
2020-11-01,Jefferson,109,1568
2020-11-01,Jersey,55,909
2020-11-01,Jo Daviess,80,1056
2020-11-01,Johnson,48,515
2020-11-01,Kane,2799,29761
2020-11-01,Kankakee,559,6903
2020-11-01,Kendall,430,7263
2020-11-01,Knox,198,3563
2020-11-01,Lake,3722,40342
2020-11-01,LaSalle,321,4486
2020-11-01,Lawrence,48,969
2020-11-01,Lee,97,1507
2020-11-01,Livingston,109,2348
2020-11-01,Logan,62,2543
2020-11-01,Macon,489,6519
2020-11-01,Macoupin,116,2973
2020-11-01,Madison,1035,12446
2020-11-01,Marion,139,2012
2020-11-01,Marshall,25,640
2020-11-01,Mason,52,1074
2020-11-01,Massac,24,416
2020-11-01,McDonough,154,1858
2020-11-01,McHenry,1002,13026
2020-11-01,McLean,1004,19723
2020-11-01,Menard,28,932
2020-11-01,Mercer,41,1052
2020-11-01,Monroe,135,1591
2020-11-01,Montgomery,58,1868
2020-11-01,Morgan,64,1679
2020-11-01,Moultrie,71,1155
2020-11-01,Ogle,169,3151
2020-11-01,Peoria,956,17156
2020-11-01,Perry,66,970
2020-11-01,Piatt,41,2330
2020-11-01,Pike,32,632
2020-11-01,Pope,0,123
2020-11-01,Pulaski,34,230
2020-11-01,Putnam,13,211
2020-11-01,Randolph,176,1984
2020-11-01,Richland,50,1379
2020-11-01,Rock Island,503,8780
2020-11-01,Saline,76,1213
2020-11-01,Sangamon,643,15375
2020-11-01,Schuyler,15,243
2020-11-01,Scott,11,353
2020-11-01,Shelby,77,1190
2020-11-01,St. Clair,1182,12874
2020-11-01,Stark,21,469
2020-11-01,Stephenson,172,2592
2020-11-01,Tazewell,502,11033
